round,test_accuracy
1,11.405750798722044
2,24.536741214057507
3,27.124600638977636
4,27.987220447284344
5,41.91693290734824
6,48.81789137380192
7,43.86581469648562
8,59.808306709265175
9,61.56549520766773
10,67.12460063897764
11,50.0
12,69.04153354632588
13,69.45686900958466
14,79.58466453674122
15,74.24920127795527
16,74.88817891373802
17,82.77955271565496
18,77.66773162939297
19,83.80191693290735
20,83.29073482428115
21,78.33865814696486
22,80.54313099041534
23,83.48242811501598
24,82.81150159744409
25,88.49840255591054
26,87.66773162939297
27,86.10223642172524
28,85.94249201277955
29,85.07987220447285
30,87.22044728434504
31,85.11182108626198
32,81.91693290734824
33,89.04153354632588
34,86.13418530351437
35,89.20127795527156
36,87.95527156549521
37,88.27476038338658
38,90.31948881789137
39,91.85303514376997
40,90.95846645367412
41,88.59424920127796
42,82.74760383386581
43,89.29712460063898
44,87.12460063897764
45,87.06070287539936
46,91.21405750798722
47,88.8817891373802
48,90.28753993610223
49,86.10223642172524
50,84.53674121405751
51,81.94888178913737
52,87.53993610223642
53,84.92012779552715
54,80.41533546325878
55,82.1405750798722
56,80.0
57,81.0223642172524
58,81.66134185303514
59,79.4888178913738
60,80.19169329073482
61,82.01277955271566
62,75.11182108626198
63,81.3738019169329
64,76.64536741214057
65,77.57188498402556
66,82.23642172523962
67,79.90415335463258
68,78.14696485623003
69,80.35143769968052
70,76.26198083067092
71,79.64856230031948
72,74.60063897763578
73,76.23003194888179
74,80.03194888178913
75,79.16932907348243
76,79.90415335463258
77,79.58466453674122
78,78.65814696485623
79,78.65814696485623
80,77.28434504792332
81,76.13418530351437
82,80.95846645367412
83,77.82747603833866
84,77.92332268370608
85,76.86900958466454
86,76.8370607028754
87,81.69329073482429
88,82.04472843450479
89,80.2555910543131
90,79.16932907348243
91,80.28753993610223
92,78.1150159744409
93,81.75718849840256
94,80.92651757188499
95,76.45367412140575
96,81.72523961661342
97,79.42492012779553
98,82.07667731629392
99,77.95527156549521
100,82.84345047923323
