round,test_accuracy
1,10.702875399361023
2,11.46964856230032
3,23.610223642172524
4,24.952076677316295
5,27.44408945686901
6,39.552715654952074
7,35.5591054313099
8,42.17252396166134
9,49.04153354632588
10,50.2555910543131
11,52.364217252396166
12,47.82747603833866
13,55.62300319488818
14,56.805111821086264
15,57.3482428115016
16,46.198083067092654
17,52.587859424920126
18,68.14696485623003
19,65.39936102236422
20,67.66773162939297
21,69.04153354632588
22,72.77955271565496
23,57.25239616613418
24,58.594249201277954
25,65.65495207667732
26,76.5814696485623
27,74.9520766773163
28,80.79872204472844
29,79.84025559105432
30,83.3226837060703
31,83.73801916932908
32,80.7667731629393
33,80.79872204472844
34,79.90415335463258
35,75.39936102236422
36,82.07667731629392
37,79.20127795527156
38,77.12460063897764
39,72.58785942492013
40,82.39616613418531
41,77.41214057507987
42,88.53035143769968
43,87.66773162939297
44,88.24281150159744
45,87.82747603833866
46,84.82428115015975
47,81.8849840255591
48,72.07667731629392
49,69.2332268370607
50,70.03194888178913
51,72.30031948881789
52,67.18849840255591
53,78.8817891373802
54,70.19169329073482
55,69.29712460063898
56,71.34185303514377
57,65.91054313099042
58,72.81150159744409
59,69.71246006389777
60,64.02555910543131
61,66.77316293929712
62,76.42172523961662
63,66.61341853035144
64,57.69968051118211
65,76.45367412140575
66,62.61980830670927
67,67.82747603833866
68,70.12779552715655
69,76.77316293929712
70,65.91054313099042
71,74.37699680511182
72,69.42492012779553
73,70.89456869009585
74,63.61022364217252
75,75.814696485623
76,68.08306709265176
77,73.83386581469648
78,70.2555910543131
79,66.96485623003196
80,65.5591054313099
81,70.28753993610223
82,72.36421725239616
83,61.18210862619808
84,76.23003194888179
85,64.92012779552715
86,72.87539936102236
87,65.23961661341853
88,72.1405750798722
89,64.08945686900958
90,70.28753993610223
91,74.21725239616613
92,63.51437699680511
93,68.65814696485623
94,60.766773162939295
95,59.13738019169329
96,63.61022364217252
97,62.715654952076676
98,71.46964856230032
99,71.34185303514377
100,70.22364217252397
