round,test_accuracy
1,8.78594249201278
2,17.603833865814696
3,22.93929712460064
4,23.929712460063897
5,36.42172523961661
6,38.21086261980831
7,40.575079872204476
8,42.364217252396166
9,47.38019169329073
10,50.894568690095845
11,57.95527156549521
12,53.70607028753994
13,59.16932907348243
14,61.405750798722046
15,64.08945686900958
16,64.08945686900958
17,68.78594249201278
18,74.98402555910543
19,65.14376996805112
20,71.91693290734824
21,72.71565495207668
22,73.29073482428115
23,69.7444089456869
24,72.68370607028754
25,75.01597444089457
26,71.21405750798722
27,67.89137380191693
28,68.69009584664536
29,71.15015974440895
30,74.60063897763578
31,74.28115015974441
32,67.18849840255591
33,80.0
34,71.27795527156549
35,82.39616613418531
36,72.39616613418531
37,81.629392971246
38,80.31948881789137
39,77.76357827476038
40,79.77635782747603
41,78.81789137380191
42,79.4888178913738
43,86.64536741214057
44,81.94888178913737
45,83.83386581469648
46,85.78274760383387
47,85.14376996805112
48,79.2332268370607
49,75.11182108626198
50,82.20447284345047
51,73.09904153354633
52,89.26517571884985
53,84.24920127795527
54,83.83386581469648
55,79.36102236421725
56,82.65175718849841
57,90.47923322683707
58,88.27476038338658
59,90.92651757188499
60,87.09265175718849
61,85.36741214057508
62,91.3738019169329
63,88.72204472843451
64,85.33546325878594
65,85.17571884984025
66,80.63897763578275
67,87.47603833865814
68,86.16613418530352
69,85.46325878594249
70,86.74121405750799
71,81.46964856230032
72,84.7923322683706
73,82.39616613418531
74,85.68690095846645
75,86.19808306709265
76,85.23961661341853
77,88.59424920127796
78,86.38977635782747
79,87.53993610223642
80,89.58466453674122
81,88.91373801916933
82,86.42172523961662
83,84.40894568690096
84,83.64217252396166
85,84.72843450479233
86,84.12140575079871
87,86.74121405750799
88,86.51757188498402
89,83.64217252396166
90,82.74760383386581
91,85.43130990415335
92,85.39936102236422
93,87.73162939297124
94,92.81150159744409
95,89.7444089456869
96,89.26517571884985
97,89.64856230031948
98,89.87220447284345
99,89.3929712460064
100,89.4888178913738
