round,battery_round_a,battery_round_b,battery_round_c,battery_round_d,battery_round_e,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,199,199
11,200,200,200,200,199,199
12,200,200,200,200,199,199
13,200,200,200,200,199,199
14,200,200,198,200,199,199
15,200,200,196,200,198,198
16,199,198,195,200,195,197
17,199,197,194,200,195,197
18,199,197,193,198,193,196
19,198,197,192,197,193,195
20,198,196,191,193,192,194
21,196,195,187,190,189,191
22,194,193,183,189,188,189
23,190,192,181,187,186,187
24,189,189,177,187,184,185
25,185,187,176,185,184,183
26,179,185,174,181,178,179
27,179,185,173,177,177,178
28,174,180,173,173,176,175
29,171,178,170,170,176,173
30,171,173,170,167,173,170
31,169,171,166,162,171,167
32,167,168,161,160,170,165
33,165,164,159,159,170,163
34,162,159,156,155,168,160
35,160,156,153,153,165,157
36,158,153,150,148,163,154
37,156,151,147,144,160,151
38,153,147,147,144,156,149
39,148,145,143,142,153,146
40,148,143,140,140,150,144
41,145,141,139,140,147,142
42,142,138,138,138,141,139
43,140,138,138,137,137,138
44,138,136,137,133,133,135
45,137,133,135,130,132,133
46,134,130,133,125,131,130
47,129,127,132,124,127,127
48,128,125,130,122,126,126
49,127,121,126,121,123,123
50,123,116,124,119,119,120
51,122,114,120,117,117,118
52,118,109,119,114,116,115
53,115,106,118,110,112,112
54,109,104,110,109,108,108
55,107,100,105,105,107,104
56,102,98,99,101,106,101
57,94,91,97,99,105,97
58,89,90,93,95,103,94
59,88,90,92,94,100,92
60,86,86,85,89,95,88
61,82,84,82,86,92,85
62,81,81,81,84,89,83
63,79,79,78,81,83,80
64,76,76,78,79,82,78
65,73,73,77,77,76,75
66,71,73,72,75,74,73
67,69,67,66,70,70,68
68,62,63,66,70,68,65
69,59,62,62,67,68,63
70,56,60,61,66,63,61
71,54,58,60,64,59,59
72,54,57,57,62,58,57
73,51,53,55,61,53,54
74,51,50,51,59,49,52
75,49,47,49,57,49,50
76,49,45,45,57,48,48
77,46,44,44,55,45,46
78,46,44,43,51,42,45
79,44,43,42,50,42,44
80,42,41,42,48,42,43
81,42,41,42,45,41,42
82,42,40,40,42,41,41
83,42,40,40,41,40,40
84,41,40,40,41,40,40
85,41,40,40,41,40,40
86,40,40,40,41,40,40
87,40,40,40,41,40,40
88,40,40,40,40,40,40
89,40,40,40,40,40,40
90,40,40,40,40,40,40
91,40,40,40,40,40,40
92,40,40,40,40,40,40
93,40,40,40,40,40,40
94,40,40,40,40,40,40
95,40,40,40,40,40,40
96,40,40,40,40,40,40
97,40,40,40,40,40,40
98,40,40,40,40,40,40
99,40,40,40,40,40,40
100,40,40,40,40,40,40
