round,battery_round_x,battery_round_y,battery_round_x,battery_round_y,battery_round,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,199,200,200,200,199
15,200,199,200,200,200,199
16,200,199,200,200,200,199
17,200,197,200,200,200,199
18,199,197,200,200,200,199
19,199,197,198,200,200,198
20,199,197,197,200,196,197
21,199,196,196,200,195,197
22,197,196,196,200,193,196
23,195,196,196,200,193,196
24,195,195,195,198,191,194
25,195,194,195,196,191,194
26,194,192,194,195,188,192
27,193,192,193,194,188,192
28,190,192,188,190,187,189
29,186,188,186,187,184,186
30,186,187,185,184,184,185
31,183,186,183,183,184,183
32,180,185,182,182,180,181
33,177,183,176,182,180,179
34,176,181,173,182,177,177
35,174,180,170,180,175,175
36,173,179,169,177,174,174
37,170,177,168,176,173,172
38,169,174,166,171,171,170
39,168,171,163,171,169,168
40,164,169,161,169,165,165
41,162,168,159,167,164,164
42,161,163,158,166,164,162
43,158,158,156,165,160,159
44,158,157,155,165,160,159
45,155,156,154,164,155,156
46,152,153,151,161,154,154
47,150,152,150,160,154,153
48,147,149,148,157,153,150
49,144,145,145,155,151,148
50,144,142,143,154,151,146
51,143,138,139,151,148,143
52,141,135,137,148,148,141
53,138,130,137,147,146,139
54,138,127,137,145,145,138
55,135,125,134,143,145,136
56,133,122,132,140,145,134
57,132,122,131,136,142,132
58,130,121,131,131,140,130
59,129,121,130,129,138,129
60,126,119,129,126,138,127
61,125,119,127,126,135,126
62,122,118,125,122,133,124
63,118,118,120,117,132,121
64,117,116,119,117,128,119
65,117,116,117,117,125,118
66,114,115,117,115,123,116
67,111,114,114,113,122,114
68,110,113,114,109,118,112
69,108,111,113,106,117,111
70,107,110,112,103,113,109
71,106,109,109,103,110,107
72,103,108,106,102,110,105
73,102,108,105,99,110,104
74,101,105,104,99,109,103
75,101,103,102,97,109,102
76,100,102,101,95,108,101
77,96,100,100,94,103,98
78,92,100,98,91,101,96
79,91,99,96,91,100,95
80,90,95,95,90,98,93
81,90,95,92,88,96,92
82,90,93,88,86,95,90
83,88,91,86,84,95,88
84,87,89,85,82,94,87
85,85,86,84,80,93,85
86,84,86,84,78,92,84
87,84,86,83,76,90,83
88,83,84,80,76,87,82
89,82,81,78,73,87,80
90,79,80,77,71,85,78
91,78,78,76,70,83,77
92,77,75,76,69,82,75
93,75,73,76,68,81,74
94,73,73,74,66,81,73
95,72,72,73,65,80,72
96,71,70,71,62,78,70
97,66,70,69,62,75,68
98,63,69,67,61,72,66
99,61,67,66,61,71,65
100,58,66,64,61,68,63
