round,test_accuracy
1,15.431309904153355
2,17.763578274760384
3,29.52076677316294
4,33.194888178913736
5,37.3482428115016
6,54.08945686900959
7,47.22044728434505
8,58.753993610223645
9,61.94888178913738
10,72.49201277955271
11,72.1405750798722
12,72.71565495207668
13,56.29392971246006
14,69.80830670926518
15,83.96166134185303
16,81.30990415335464
17,86.26198083067092
18,87.73162939297124
19,83.64217252396166
20,83.70607028753993
21,89.3929712460064
22,89.55271565495208
23,86.10223642172524
24,81.18210862619809
25,83.99361022364218
26,90.12779552715655
27,91.66134185303514
28,82.30031948881789
29,91.46964856230032
30,89.93610223642173
31,89.68051118210863
32,92.42811501597444
33,93.86581469648563
34,91.78913738019169
35,94.85623003194888
36,94.76038338658147
37,93.09904153354633
38,94.98402555910543
39,93.51437699680511
40,94.88817891373802
41,93.83386581469648
42,94.98402555910543
43,94.7923322683706
44,93.4185303514377
45,94.4408945686901
46,93.89776357827476
47,94.05750798722045
48,92.52396166134186
49,93.3226837060703
50,95.65495207667732
51,95.65495207667732
52,93.54632587859425
53,91.46964856230032
54,94.31309904153355
55,95.78274760383387
56,95.14376996805112
57,95.17571884984025
58,95.814696485623
59,96.16613418530352
60,95.91054313099042
61,95.2076677316294
62,95.01597444089457
63,95.2076677316294
64,95.23961661341853
65,93.06709265175719
66,95.814696485623
67,95.33546325878594
68,93.80191693290735
69,94.21725239616613
70,94.53674121405751
71,95.71884984025559
72,95.94249201277955
73,95.33546325878594
74,95.17571884984025
75,93.38658146964856
76,96.8370607028754
77,96.51757188498402
78,96.54952076677316
79,94.9520766773163
80,95.07987220447285
81,95.78274760383387
82,96.0702875399361
83,96.10223642172524
84,96.45367412140575
85,96.38977635782747
86,96.00638977635782
87,95.94249201277955
88,96.35782747603834
89,96.42172523961662
90,97.06070287539936
91,97.02875399361022
92,96.3258785942492
93,96.99680511182109
94,96.74121405750799
95,96.90095846645367
96,95.68690095846645
97,97.12460063897764
98,95.36741214057508
99,96.74121405750799
100,96.03833865814697
