round,test_accuracy
1,14.121405750798722
2,20.415335463258785
3,28.43450479233227
4,32.20447284345048
5,44.24920127795527
6,43.4185303514377
7,47.92332268370607
8,64.4408945686901
9,64.21725239616613
10,64.7923322683706
11,67.47603833865814
12,67.02875399361022
13,68.56230031948881
14,75.14376996805112
15,74.76038338658147
16,83.89776357827476
17,78.21086261980831
18,69.93610223642173
19,78.59424920127796
20,72.33226837060703
21,86.51757188498402
22,87.66773162939297
23,82.26837060702876
24,88.27476038338658
25,88.59424920127796
26,92.81150159744409
27,84.4408945686901
28,86.90095846645367
29,91.1182108626198
30,89.71246006389777
31,89.84025559105432
32,87.79552715654953
33,91.82108626198082
34,86.35782747603834
35,88.69009584664536
36,90.19169329073482
37,91.05431309904154
38,93.70607028753993
39,93.3226837060703
40,90.99041533546325
41,89.71246006389777
42,91.50159744408946
43,94.63258785942492
44,91.0223642172524
45,93.83386581469648
46,92.17252396166134
47,93.38658146964856
48,93.89776357827476
49,92.07667731629392
50,92.90734824281151
51,92.77955271565496
52,92.17252396166134
53,92.74760383386581
54,94.12140575079871
55,94.37699680511182
56,93.38658146964856
57,93.4185303514377
58,93.96166134185303
59,91.8849840255591
60,90.54313099041534
61,95.01597444089457
62,94.28115015974441
63,95.0479233226837
64,95.11182108626198
65,95.5591054313099
66,95.3035143769968
67,94.37699680511182
68,94.31309904153355
69,93.80191693290735
70,95.49520766773163
71,93.89776357827476
72,96.23003194888179
73,93.1629392971246
74,94.7923322683706
75,93.3226837060703
76,95.14376996805112
77,93.99361022364218
78,95.2076677316294
79,94.28115015974441
80,94.37699680511182
81,95.23961661341853
82,94.66453674121406
83,94.185303514377
84,92.04472843450479
85,95.52715654952077
86,94.28115015974441
87,95.36741214057508
88,95.27156549520767
89,95.23961661341853
90,94.7923322683706
91,94.50479233226837
92,93.70607028753993
93,94.9520766773163
94,95.68690095846645
95,96.10223642172524
96,94.92012779552715
97,95.17571884984025
98,95.27156549520767
99,94.63258785942492
100,94.37699680511182
